# FINAL REGISTER STATE (32-bit Hex)
PC: 00000020
x0: 00000000
x1: 00000005
x2: 0000000A
x3: 0000000F
x4: 00000005
x5: 00000000
x6: 0000000F
x7: 0000000F
x8: 00000000
x9: 00000000
x10: 00000000
x11: 00000000
x12: 00000000
x13: 00000000
x14: 00000000
x15: 00000000
x16: 00000000
x17: 00000000
x18: 00000000
x19: 00000000
x20: 00000000
x21: 00000000
x22: 00000000
x23: 00000000
x24: 00000000
x25: 00000000
x26: 00000000
x27: 00000000
x28: 00000000
x29: 00000000
x30: 00000000
x31: 00000000

# FINAL DATA MEMORY STATE (Address: Data)
# (no writes)
